cultivar;entrada;bloue;tratamiento;parcela;cod_parcela;num_planta;DDS;tallo_flora_curvatura;tallo_floral_bulbillo;follaje_porte;num_hojas;forma_longitudinal;posicion_dientes_extrbulb;forma_base;distribución_dientes;dientes_exteriores;peso_bulbo_gr;longitud_bulbo_mm;ancho_bulbo_mm;num_dientes
AJO CAÑETANO;CANT24-01;3;T6;301;B3-301;5;172;1;9;2;10;2;2;2;1;1;41.50;44.39;52.31;4
AJO CAÑETANO;CANT24-01;3;T6;301;B3-301;6;172;1;9;2;9;2;2;2;1;1;46.50;41.59;56.23;7
AJO CAÑETANO;CANT24-01;3;T6;301;B3-301;7;172;1;9;2;11;2;2;2;1;1;30.50;35.62;47.38;6
AJO CAÑETANO;CANT24-01;3;T6;301;B3-301;8;172;1;9;2;11;2;2;2;1;1;34.50;38.22;45.86;6
AJO CAÑETANO;CANT24-01;3;T6;301;B3-301;9;172;1;9;2;8;2;2;2;1;1;46.00;37.28;44.53;11
AJO CAÑETANO;CANT24-01;3;T6;301;B3-301;10;172;1;9;2;12;2;2;2;1;1;47.00;43.09;52.74;5
AJO SANTEÑO ;SANT24-01;3;T5;302;B3-302;1;140;9;9;2;8;2;2;3;1;9;80.50;36.52;52.60;10
AJO SANTEÑO ;SANT24-01;3;T5;302;B3-302;2;140;9;9;2;9;2;2;3;1;1;53.50;36.97;47.59;9
AJO SANTEÑO ;SANT24-01;3;T5;302;B3-302;3;140;9;9;2;9;2;2;2;1;1;61.00;37.04;45.58;11
AJO SANTEÑO ;SANT24-01;3;T5;302;B3-302;4;140;9;9;2;9;2;2;3;1;1;45.50;35.26;47.70;9
AJO SANTEÑO ;SANT24-01;3;T5;302;B3-302;5;140;9;9;2;7;2;2;2;1;1;81.50;37.68;59.78;10
AJO SANTEÑO ;SANT24-01;3;T5;302;B3-302;6;140;9;9;2;9;2;2;2;1;1;81.00;37.64;58.45;12
AJO SANTEÑO ;SANT24-01;3;T5;302;B3-302;7;140;9;9;2;8;2;2;3;1;1;26.00;34.36;38.76;10
AJO SANTEÑO ;SANT24-01;3;T5;302;B3-302;8;140;9;9;2;8;2;2;2;1;1;67.50;37.69;53.67;12
AJO SANTEÑO ;SANT24-01;3;T5;302;B3-302;9;140;9;9;2;7;2;2;2;1;1;68.50;36.28;55.83;10
AJO SANTEÑO ;SANT24-01;3;T5;302;B3-302;10;140;9;9;2;12;2;2;2;1;1;49.00;34.49;49.99;10
AJO KYAN ;KYAN24-01;3;T4;303;B3-303;1;172;9;9;2;13;2;2;2;1;1;43.50;43.14;50.73;9
AJO KYAN ;KYAN24-01;3;T4;303;B3-303;2;172;9;9;2;13;2;2;2;1;1;62.50;43.80;61.21;10
AJO KYAN ;KYAN24-01;3;T4;303;B3-303;3;172;9;9;2;13;2;2;2;1;1;35.00;40.68;49.28;6
AJO KYAN ;KYAN24-01;3;T4;303;B3-303;4;172;9;9;2;13;2;2;2;1;9;73.50;40.13;64.64;7
AJO KYAN ;KYAN24-01;3;T4;303;B3-303;5;172;9;9;2;13;2;2;2;1;1;42.00;33.41;53.20;12
AJO KYAN ;KYAN24-01;3;T4;303;B3-303;6;172;9;9;2;13;2;2;2;1;1;50.50;43.23;53.13;8
AJO KYAN ;KYAN24-01;3;T4;303;B3-303;7;172;9;9;2;13;2;2;2;1;1;42.50;40.72;49.92;7
AJO KYAN ;KYAN24-01;3;T4;303;B3-303;8;172;9;9;2;13;2;2;2;1;1;60.00;45.22;56.66;8
AJO KYAN ;KYAN24-01;3;T4;303;B3-303;9;172;9;9;2;13;2;2;2;1;1;50.00;39.41;56.98;7
AJO KYAN ;KYAN24-01;3;T4;303;B3-303;10;172;9;9;2;13;2;2;2;1;1;46.00;32.59;56.32;7
AJO CHINO;CHIN24-01;3;T3;304;B3-304;1;172;9;9;2;12;2;2;2;1;1;55.50;46.13;51.52;4
AJO CHINO;CHIN24-01;3;T3;304;B3-304;2;172;9;9;2;13;2;2;2;1;1;68.00;42.61;56.48;6
AJO CHINO;CHIN24-01;3;T3;304;B3-304;3;172;9;9;2;14;2;2;2;1;1;63.00;44.77;55.38;6
AJO CHINO;CHIN24-01;3;T3;304;B3-304;4;172;9;9;2;12;2;2;2;1;1;78.50;39.84;60.05;6
AJO CHINO;CHIN24-01;3;T3;304;B3-304;5;172;9;9;2;14;2;2;2;1;1;75.00;48.23;60.77;4
AJO CHINO;CHIN24-01;3;T3;304;B3-304;6;172;9;9;2;12;2;2;2;1;1;54.50;35.37;52.25;5
AJO CHINO;CHIN24-01;3;T3;304;B3-304;7;172;9;9;2;14;2;2;2;1;1;77.00;45.59;60.09;4
AJO CHINO;CHIN24-01;3;T3;304;B3-304;8;172;9;9;2;10;2;2;2;1;1;54.50;34.80;58.30;4
AJO CHINO;CHIN24-01;3;T3;304;B3-304;9;172;9;9;2;15;2;2;2;1;1;76.00;46.29;64.20;5
AJO CHINO;CHIN24-01;3;T3;304;B3-304;10;172;9;9;2;12;2;2;2;1;1;39.50;40.01;51.42;3
AJO DONAJUS;DONA24-01;3;T1;305;B3-305;1;172;1;9;1;11;2;2;2;1;1;39.00;39.23;49.29;6
AJO DONAJUS;DONA24-01;3;T1;305;B3-305;2;172;1;9;1;11;2;2;2;1;1;40.00;37.25;48.58;10
AJO DONAJUS;DONA24-01;3;T1;305;B3-305;3;172;1;9;1;10;2;2;2;1;1;30.50;39.13;46.41;4
AJO DONAJUS;DONA24-01;3;T1;305;B3-305;4;172;1;9;1;9;2;2;2;1;1;37.00;38.39;50.32;6
AJO DONAJUS;DONA24-01;3;T1;305;B3-305;5;172;1;9;1;9;2;2;2;1;1;41.50;40.35;51.86;10
AJO DONAJUS;DONA24-01;3;T1;305;B3-305;6;172;1;9;1;11;2;2;2;1;1;49.50;40.66;56.47;10
AJO DONAJUS;DONA24-01;3;T1;305;B3-305;7;172;1;9;1;10;2;2;2;1;1;37.50;39.34;50.81;9
