cultivar,entrada,bloue,tratamiento,parcela,cod_parcela,num_planta,DDS,tallo_flora_curvatura,tallo_floral_bulbillo,follaje_porte,num_hojas,forma_longitudinal,posicion_dientes_extrbulb,forma_base,distribución_dientes,dientes_exteriores,peso_bulbo_gr,longitud_bulbo_mm,ancho_bulbo_mm,num_dientes
AJO SANTEÑO ,SANT24-01,2.0,T5,206.0,B2-206,2.0,140.0,9.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,51.5,35.52,52.12,11.0
AJO SANTEÑO ,SANT24-01,2.0,T5,206.0,B2-206,3.0,140.0,9.0,9.0,2.0,11.0,2.0,3.0,2.0,1.0,1.0,60.0,45.74,54.57,11.0
AJO SANTEÑO ,SANT24-01,2.0,T5,206.0,B2-206,4.0,140.0,9.0,9.0,2.0,8.0,2.0,3.0,2.0,1.0,1.0,75.0,40.45,55.42,12.0
AJO SANTEÑO ,SANT24-01,2.0,T5,206.0,B2-206,5.0,140.0,9.0,9.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,43.5,34.1,46.94,9.0
AJO SANTEÑO ,SANT24-01,2.0,T5,206.0,B2-206,6.0,140.0,9.0,9.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,52.5,35.57,51.56,11.0
AJO SANTEÑO ,SANT24-01,2.0,T5,206.0,B2-206,7.0,140.0,9.0,9.0,2.0,7.0,2.0,2.0,3.0,1.0,1.0,61.0,39.22,53.71,10.0
AJO SANTEÑO ,SANT24-01,2.0,T5,206.0,B2-206,8.0,140.0,9.0,9.0,2.0,7.0,2.0,2.0,3.0,1.0,1.0,59.0,34.13,55.28,10.0
AJO SANTEÑO ,SANT24-01,2.0,T5,206.0,B2-206,9.0,140.0,9.0,9.0,2.0,7.0,2.0,2.0,2.0,1.0,1.0,49.5,35.97,53.11,11.0
AJO SANTEÑO ,SANT24-01,2.0,T5,206.0,B2-206,10.0,140.0,9.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,48.0,33.28,50.97,11.0
AJO CAÑETANO,CANT24-01,3.0,T6,301.0,B3-301,1.0,172.0,1.0,9.0,2.0,11.0,2.0,2.0,2.0,1.0,1.0,66.0,49.88,61.12,11.0
AJO CAÑETANO,CANT24-01,3.0,T6,301.0,B3-301,2.0,172.0,1.0,9.0,2.0,11.0,2.0,2.0,2.0,1.0,1.0,32.0,37.51,48.33,8.0
AJO CAÑETANO,CANT24-01,3.0,T6,301.0,B3-301,3.0,172.0,1.0,9.0,2.0,12.0,2.0,2.0,2.0,1.0,1.0,38.0,43.07,51.03,4.0
AJO CAÑETANO,CANT24-01,3.0,T6,301.0,B3-301,4.0,172.0,1.0,9.0,2.0,13.0,2.0,2.0,2.0,1.0,1.0,35.0,41.13,49.71,3.0
AJO CAÑETANO,CANT24-01,3.0,T6,301.0,B3-301,5.0,172.0,1.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,41.5,44.39,52.31,4.0
AJO CAÑETANO,CANT24-01,3.0,T6,301.0,B3-301,6.0,172.0,1.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,46.5,41.59,56.23,7.0
AJO CAÑETANO,CANT24-01,3.0,T6,301.0,B3-301,7.0,172.0,1.0,9.0,2.0,11.0,2.0,2.0,2.0,1.0,1.0,30.5,35.62,47.38,6.0
AJO CAÑETANO,CANT24-01,3.0,T6,301.0,B3-301,8.0,172.0,1.0,9.0,2.0,11.0,2.0,2.0,2.0,1.0,1.0,34.5,38.22,45.86,6.0
AJO CAÑETANO,CANT24-01,3.0,T6,301.0,B3-301,9.0,172.0,1.0,9.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,46.0,37.28,44.53,11.0
AJO CAÑETANO,CANT24-01,3.0,T6,301.0,B3-301,10.0,172.0,1.0,9.0,2.0,12.0,2.0,2.0,2.0,1.0,1.0,47.0,43.09,52.74,5.0
AJO SANTEÑO ,SANT24-01,3.0,T5,302.0,B3-302,1.0,140.0,9.0,9.0,2.0,8.0,2.0,2.0,3.0,1.0,9.0,80.5,36.52,52.6,10.0
AJO SANTEÑO ,SANT24-01,3.0,T5,302.0,B3-302,2.0,140.0,9.0,9.0,2.0,9.0,2.0,2.0,3.0,1.0,1.0,53.5,36.97,47.59,9.0
AJO SANTEÑO ,SANT24-01,3.0,T5,302.0,B3-302,3.0,140.0,9.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,61.0,37.04,45.58,11.0
AJO SANTEÑO ,SANT24-01,3.0,T5,302.0,B3-302,4.0,140.0,9.0,9.0,2.0,9.0,2.0,2.0,3.0,1.0,1.0,45.5,35.26,47.7,9.0
AJO SANTEÑO ,SANT24-01,3.0,T5,302.0,B3-302,5.0,140.0,9.0,9.0,2.0,7.0,2.0,2.0,2.0,1.0,1.0,81.5,37.68,59.78,10.0
AJO SANTEÑO ,SANT24-01,3.0,T5,302.0,B3-302,6.0,140.0,9.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,81.0,37.64,58.45,12.0
AJO SANTEÑO ,SANT24-01,3.0,T5,302.0,B3-302,7.0,140.0,9.0,9.0,2.0,8.0,2.0,2.0,3.0,1.0,1.0,26.0,34.36,38.76,10.0
AJO SANTEÑO ,SANT24-01,3.0,T5,302.0,B3-302,8.0,140.0,9.0,9.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,67.5,37.69,53.67,12.0
AJO SANTEÑO ,SANT24-01,3.0,T5,302.0,B3-302,9.0,140.0,9.0,9.0,2.0,7.0,2.0,2.0,2.0,1.0,1.0,68.5,36.28,55.83,10.0
AJO SANTEÑO ,SANT24-01,3.0,T5,302.0,B3-302,10.0,140.0,9.0,9.0,2.0,12.0,2.0,2.0,2.0,1.0,1.0,49.0,34.49,49.99,10.0
